,abstract,Tags
24,"video interview antonietta de lillo , lead female italian film director , accompany 2013 book reframing italy : new trend italian women 's filmmaking , bernardette luciano susanna scarparo .","classical studies, drama, film studies (motion pictures), global languages and literatures, italy, performing arts, reframing italy, women filmmakers, women's studies"
25,"video interview costanza quatriglio , lead female italian film director , accompany 2013 book reframing italy : new trend italian women 's filmmaking , bernardette luciano susanna scarparo .","classical studies, drama, film studies (motion pictures), global languages and literatures, italy, performing arts, reframing italy, women filmmakers, women's studies"
26,"video interview francesca pirani , lead female italian film director , accompany 2013 book reframing italy : new trend italian women 's filmmaking , bernardette luciano susanna scarparo .","classical studies, drama, film studies (motion pictures), global languages and literatures, italy, performing arts, reframing italy, women filmmakers, women's studies"
27,"video interview marina spada , lead female italian film director , accompany 2013 book reframing italy : new trend italian women 's filmmaking , bernardette luciano susanna scarparo .","classical studies, drama, film studies (motion pictures), global languages and literatures, italy, performing arts, reframing italy, women filmmakers, women's studies"
28,"video interview paola sangiovanni , lead female italian film director , accompany 2013 book reframing italy : new trend italian women 's filmmaking , bernardette luciano susanna scarparo .","classical studies, drama, film studies (motion pictures), global languages and literatures, italy, reframing italy, women filmmakers, women's studies"
29,"supplementary materials the paper : discover sequence potential regulatory characteristics . bina , wyss p , lazarus sa , shah sr , ren w , szpankowski w , crawford ge , park sp , song xc . genomics . 2009 apr ; 93 ( 4 ) :314-22","binding-site, biochemistry, bioinformatics, codes in human dna, dnase-i hypersensitive sites, gene regulation, genetic vocabulary, human genome, hypersensitive sites, molecular biosciences, promoter regions, regulatory signals, sequence context, transcription factor binding sites, transcription factors"
30,supplementary mullins e.a . kappock t.j. ( 2013 ) & quot ; functional analysis the acetic acid resistance ( aar ) gene cluster acetobacter aceti strain 1023. & quot ; acetic acid bacteria 2 : e3 . ( doi : 10.4081/aab.2013.s1.e3 ) .,"acidophile, biochemistry, chemistry, citric acid cycle, enzyme, molecular biosciences"
31,supplementary mullins e.a . kappock t.j. ( 2013 ) & quot ; functional analysis the acetic acid resistance ( aar ) gene cluster acetobacter aceti strain 1023. & quot ; acetic acid bacteria 2 : e3 . ( doi : 10.4081/aab.2013.s1.e3 ) .,"acidophile, biochemistry, chemistry, citric acid cycle, enzyme, molecular biosciences"
32,"32-digit value the first 100 recurrence coefficients orthogonal polynomials relative the theodorus weight function w ( x ) =x^ { 1/2 } / ( e^x-1 ) r_ { + } compute the routine sr_theodorus ( 100,32 )","bose-einstein distribution, computer science, equation table, gaussian quadrature, mathematics, moment problem, numerical integrations, orthogonal polynomials, quadrature and cubature formulas, slowly convergent series, spiral of theodorus, summation of series, walter gautschi archives"
33,"32-digit value the first 100 recurrence coefficients the weight function w ( x ) =x^ ( 1/2 ) / ( exp ( x ) -1 ) [ 0 , inf ]","bose-einstein distribution, computer science, equation table, gaussian quadrature, mathematics, moment problem, numerical integrations, orthogonal polynomials, quadrature and cubature formulas, slowly convergent series, spiral of theodorus, summation of series, walter gautschi archives"
34,"28-digit value the recursion coefficients orthogonal polynomials relative the airy weight function w ( x ) = frac { 2^ { 2/3 } pi } { 3^ { 5/6 } gamma ( 2/3 ) } * x^ { -2/3 } exp ( -x ) ai ( ( 3x/2 ) ^ { 2/3 } ) [ 0 , infty ]","airy weight function, computer science, equation table, gaussian quadrature, mathematics, orthogonal polynomials, quadrature and cubature formulas, walter gautschi archives"
35,"28-digit value the recursion coefficients orthogonal polynomials relative the bessel weight function w ( x ) =frac { sqrt { 3 } } { pi } k_ { 1/3 } ( x ) [ 0 , infty ]","computer science, equation table, gaussian quadrature, k-bessel weight function, mathematics, orthogonal polynomials, quadrature and cubature formulas, walter gautschi archives"
36,"32-digit value the first 100 recurrence coefficients the weight function w ( x ) =c * k_nu ( x ) [ 0 , inf ] , c=2cos ( nu * pi/2 ) /pi , nu=1/3","computer science, equation table, gaussian quadrature, k-bessel weight function, mathematics, orthogonal polynomials, quadrature and cubature formulas, walter gautschi archives"
37,"32-digit value the first 100 recurrence coefficients orthogonal polynomials relative the bose-einstein weight function w ( x ) =x/ ( e^x-1 ) compute the sopq routine sr_boseeinstein ( 100,1,32 )","bose-einstein distribution, computer science, equation table, gaussian quadrature, mathematics, matlab, opq routine, orthogonal polynomials, quadrature and cubature formulas, walter gautschi archives"
38,"32-digit value the first 100 recurrence coefficients the weight function w ( x ) = [ x/ ( exp ( x ) -1 ) ] ^r [ 0 , inf ] , r=1","bose-einstein distribution, computer science, equation table, gaussian quadrature, mathematics, matlab, opq routine, orthogonal polynomials, quadrature and cubature formulas, walter gautschi archives"
39,"32-digit value the first 100 recurrence coefficients orthogonal polynomials relative the bose-einstein weight function w ( x ) = [ x/ ( e^x-1 ) ] ^2 compute the sopq routine sr_boseeinstein ( 100,2,32 )","bose-einstein distribution, computer science, equation table, gaussian quadrature, mathematics, matlab, opq routine, orthogonal polynomials, walter gautschi archives"
40,"32-digit value the first 100 recurrence coefficients the weight function w ( x ) = [ x/ ( exp ( x ) -1 ) ] ^r [ 0 , inf ] , r=2","bose-einstein distribution, computer science, equation table, gaussian quadrature, mathematics, matlab, opq routine, orthogonal polynomials, walter gautschi archives"
41,"32-digit value the first 100 recurrence coefficients orthogonal polynomials relative the bose-einstein weight function w ( x ) = [ x/ ( e^x-1 ) ] ^3 compute the routine sr_boseeinstein ( 100,3,32 )","bose-einstein distribution, computer science, equation table, gaussian quadrature, mathematics, matlab, opq routine, orthogonal polynomials, walter gautschi archives"
42,"32-digit value the first 100 recurrence coefficients the weight function w ( x ) = [ x/ ( exp ( x ) -1 ) ] ^r [ 0 , inf ] , r=3","bose-einstein distribution, computer science, equation table, gaussian quadrature, mathematics, matlab, opq routine, orthogonal polynomials, walter gautschi archives"
43,"32-digit value first 100 recurrence coefficients orthogonal polynomials use the bose-einstein weight function : w ( x ) = [ x/ ( e^x-1 ) ] ^4 compute the sopq routine sr_boseeinstein ( 100,4,32 )","bose-einstein distribution, computer science, equation table, gaussian quadrature, mathematics, matlab, opq routine, orthogonal polynomials, walter gautschi archives"
44,"32-digit value the first 100 recurrence coefficients the weight function w ( x ) = [ x/ ( exp ( x ) -1 ) ] ^r [ 0 , inf ] , r=4","bose-einstein distribution, computer science, equation table, gaussian quadrature, mathematics, matlab, opq routine, orthogonal polynomials, walter gautschi archives"
45,"32-digit value the first 100 recurrence coefficients relative the fermi-dirac weight function w ( x ) =1/ ( e^x+1 ) compute the sopq routine sr_fermidirac ( 100,1,32 )","computer science, equation table, fermi dirac weight function, gaussian quadrature, mathematics, matlab, opq routine, orthogonal polynomials, walter gautschi archives"
46,"32-digit value the first 100 recurrence coefficients the weight function w ( x ) = [ 1/ ( exp ( x ) +1 ) ] ^r [ 0 , inf ] , r=1","computer science, equation table, fermi dirac weight function, gaussian quadrature, mathematics, matlab, opq routine, orthogonal polynomials, walter gautschi archives"
47,"32-digit value the first 100 beta coefficients relative the freud weight function w ( x ) =exp ( -x^ { 10 } ) compute r the sopq routine sr_freud ( 100,0,10,32 )","computer science, equation table, freud polynomials, freud weight function, gaussian quadrature, mathematics, matlab, opq routine, orthogonal polynomials, walter gautschi archives"
48,"32-digit value the first 100 recurrence coefficients the weight function w ( x ) =x^mu * exp ( -x^nu ) [ -inf , inf ] , mu=0 , nu=10","computer science, equation table, freud polynomials, freud weight function, gaussian quadrature, mathematics, matlab, opq routine, orthogonal polynomials, walter gautschi archives"
49,"32-digit value the first 100 beta coefficients relative the freud weight function w ( x ) =exp ( -x^4 ) compute r the sopq routine sr_freud ( 100,0,4,32 )","computer science, equation table, freud polynomials, freud weight function, gaussian quadrature, mathematics, matlab, opq routine, orthogonal polynomials, walter gautschi archives"
50,"32-digit value the first 100 recurrence coefficients the weight function w ( x ) =x^mu * exp ( -x^nu ) [ -inf , inf ] , mu=0 , nu=4","computer science, equation table, freud polynomials, freud weight function, gaussian quadrature, mathematics, matlab, opq routine, orthogonal polynomials, walter gautschi archives"
51,"32-digit value the first 100 beta coefficients relative the freud weight function w ( x ) =exp ( -x^6 ) compute r the sopq routine sr_freud ( 100,0,6,32 )","computer science, equation table, freud polynomials, freud weight function, gaussian quadrature, mathematical concepts, mathematics, opq routine, orthogonal polynomials, walter gautschi archives"
52,"32-digit value the first 100 recurrence coefficients the weight function w ( x ) =x^mu * exp ( -x^nu ) [ -inf , inf ] , mu=0 , nu=6","computer science, equation table, freud polynomials, freud weight function, gaussian quadrature, mathematical concepts, mathematics, opq routine, orthogonal polynomials, walter gautschi archives"
53,"32-digit value the first 100 beta coefficients relative the freud weight function w ( x ) =exp ( -x^8 ) compute r the sopq routine sr_freud ( 100,0,8,32 )","computer science, equation table, freud polynomials, freud weight function, gaussian quadrature, mathematics, matlab, opq routine, orthogonal polynomials, walter gautschi archives"
54,"32-digit value the first 100 recurrence coefficients the weight function w ( x ) =x^mu * exp ( -x^nu ) [ -inf , inf ] , mu=0 , nu=8","computer science, equation table, freud polynomials, freud weight function, gaussian quadrature, mathematics, matlab, opq routine, orthogonal polynomials, walter gautschi archives"
55,"32-digit value the first 100 recurrence coefficients relative the half-range hermite weight function w ( x ) =exp ( -x^2 ) r_ { + } compute the sopq routine sr_halfrangehermite ( 100,32 )","computational methods, computer science, equation table, gaussian quadrature, hermite weight function, hilbert transforms, integral transforms, mathematics, matlab, numerical integrations, opq routine, orthogonal polynomials, walter gautschi archives"
56,"32-digit value the first 100 recurrence coefficients the weight function w ( x ) =x^ ( 2 * mu ) * exp ( -x^2 ) [ 0 , inf ] , mu=0","computational methods, computer science, equation table, gaussian quadrature, hermite weight function, hilbert transforms, integral transforms, mathematics, matlab, numerical integrations, opq routine, orthogonal polynomials, walter gautschi archives"
57,"32-digit value the first 100 recurrence coefficients relative the weight function w ( x ) =x^ { -1/2 } ( 1-x ) ^ { -1/2 } log ( 1/x ) ( 0,1 ) compute the sopq routine sr_jacobilog1 ( 100 , -1/2 , -1/2,32 )","computer science, equation table, gauss-radau formula, jacobi polynomials, jacobi weight functions, mathematics, matlab, opq routine, orthogonal polynomials, walter gautschi archives"
58,"32-digit value the first 100 recurrence coefficients orthogonal polynomials relative the weight function w ( x ) =x^ { -1/2 } ( 1-x ) ^ { 1/2 } log ( 1/x ) ( 0,1 ) compute the sopq routine sr_jacobilog1 ( 100 , -1/2,1/2,32 )","computer science, equation table, gauss-radau formula, jacobi polynomials, jacobi weight functions, mathematics, matlab, opq routine, orthogonal polynomials, walter gautschi archives"
59,"32-digit value the first 100 recurrence coefficients orthogonal polynomials relative the weight function w ( x ) = ( 1-x ) ^ { -1/2 } x^ { 1/2 } log ( 1/x ) ( 0,1 )","computer science, equation table, gauss-radau formula, jacobi polynomials, jacobi weight functions, mathematics, matlab, opq routine, orthogonal polynomials, walter gautschi archives"
60,"32-digit value the first 100 recurrence coefficients orthogonal polynomials relative the weight function w ( x ) =x^ { 1/2 } ( 1-x ) ^ { -1/2 } log ( 1/x ) ( 0,1 ) compute the sopq routine sr_jacobilog1 ( 100,1/2 , -1/2,32 )","computer science, equation table, gauss-radau formula, jacobi polynomials, jacobi weight functions, mathematics, matlab, opq routine, orthogonal polynomials, walter gautschi archives"
61,"32-digit value the first 100 recurrence coefficients orthogonal polynomials relative the weight function w ( x ) =x^ { 1/2 } ( 1-x ) ^ { 1/2 } log ( 1/x ) ( 0,1 ) compute the sopq routine sr_jacobilog1 ( 100,1/2,1/2,32 )","computer science, equation table, gauss-radau formula, jacobi polynomials, jacobi weight functions, mathematics, matlab, opq routine, orthogonal polynomials, walter gautschi archives"
62,"interview darren zink , strategic account manager , brock grain systems .","agriculture, education, engineering education, engineering technology, engineering technology pathways, engineering technology summit 2013, entrepreneurship, national science foundation, nsf grant: 105582, technology leadership and innovation"
63,"interview andrew fife , process engineer , indiana kitchen .","agriculture, engineering technology, engineering technology pathways, engineering technology summit 2013, entrepreneurship, industrial engineering, learning community, national science foundation, nsf grant: 105582, technology leadership and innovation"
64,"video session chad laux , assistant professor technology leadership innovation department , describe the indiana bioeconomy the purdue ivy tech 2013 engineer technology summit .","advanced technical education, agriculture, bioeconomy, consumer science, engineering education, engineering technology, engineering technology pathways, engineering technology summit 2013, food security, national science foundation, nsf grant: 105582, nutrition, technology leadership and innovation"
65,"craig miller , professor computer graphics technology purdue university provide professional development workshop associate degree students the 2013 engineer technology summit .","agriculture, engineering education, engineering technology, engineering technology pathways, engineering technology summit 2013, national science foundation, nsf grant: 105582, student success, technology leadership and innovation"
66,video session conclude industry roundtable discussion students concern technical education the career the 2013 engineer technology summit .,"agriculture, engineering education, engineering technology, engineering technology pathways, engineering technology summit 2013, entrepreneurship, national science foundation, nsf grant: 105582, technology leadership and innovation"
67,video session an industry roundtable discussion students concern technical education the career the 2013 engineer technology summit .,"agriculture, engineering education, engineering technology, engineering technology pathways, engineering technology summit 2013, entrepreneurship, national science foundation, nsf grant: 105582, technology leadership and innovation"
68,"video session describe virtual learn community dawn laux , michele summer chad laux the purdue ivy tech 2013 engineer technology summit .","agriculture, engineering education, engineering technology, engineering technology pathways, engineering technology summit 2013, entrepreneurship, national science foundation, nsf grant: 105582, technology leadership and innovation, virtual learning community"
69,supplementary materials the report : effect realistic heat straighten repair the properties serviceability damage steel bridge,"civil engineering, damaged steel beam bridge, heat straightening repair, joint transportation research program, jtrp, multiple heat straightening, overheat, overstrain, spr-3105"
70,supplementary materials the report : effect realistic heat straighten repair the properties serviceability damage steel bridge,"civil engineering, damaged steel beam bridge, heat straightening repair, joint transportation research program, jtrp, multiple heat straightening, overheat, overstrain, spr-3105"
71,supplementary materials the report : effect realistic heat straighten repair the properties serviceability damage steel bridge,"civil engineering, damaged steel beam bridge, heat straightening repair, joint transportation research program, jtrp, multiple heat straightening, overheat, overstrain, spr-3105"
72,supplementary materials the report : effect realistic heat straighten repair the properties serviceability damage steel bridge,"civil engineering, damaged steel beam bridge, heat straightening repair, joint transportation research program, jtrp, multiple heat straightening, overheat, overstrain, spr-3105"
73,video soft drink delivery,"ergonomics, health sciences, human factors, nutrition, video exposure monitoring"
74,include symbolic versions some the important opq routines .,"airy weight function, bose-einstein distribution, chebyshev-type quadratures, classical weight functions, computer science, fermi dirac weight function, freud weight function, gauss-type quadrature rules, hermite weight function, jacobi weight functions, k-bessel weight function, laguerre weight functions, mathematics, matlab, opq routine, orthogonal polynomials, perl script, quadrature, software source code, walter gautschi archives, walter gautschi selected works"
75,include symbolic versions some the important opq routines .,"airy weight function, bose-einstein distribution, chebyshev-type quadratures, classical weight functions, computer science, fermi dirac weight function, freud weight function, gauss-type quadrature rules, hermite weight function, jacobi weight functions, k-bessel weight function, laguerre weight functions, mathematics, matlab, opq routine, orthogonal polynomials, perl script, quadrature, software source code, walter gautschi archives, walter gautschi selected works"
76,collection fortran matlab cod their output compute macdonald function complex order numerical quadrature .,"complex order, computer science, fortran, gauss quadrature approximation, macdonald function, mathematics, matlab software, modified bessel function, quadrature and cubature formulas, software source code, walter gautschi archives"
77,software ( matlab ) develop compute variable-precision recurrence coefficients orthogonal polynomials respect densely oscillate exponentially decay weight function,"computer science, densely oscillating weight functions, exponentially decaying weight functions, gaussian quadrature, mathematics, matlab, orthogonal polynomials, walter gautschi archives"
78,matlab fortran cod evaluate densely wildly oscillatory integral have propose a computational problem the siam 100-digit challenge .,"computer science, fortran, gauss quadrature approximation, jacobi weight functions, mathematics, matlab, numerical evaluation, orthogonal polynomials, oscillatory integrals, software source code, walter gautschi archives"
79,bernstein ’ inequality jacobi polynomials analyze analytically computationally regard validity sharpness,"bernstein’s inequality, computer science, erdelyi–magnus–nevai conjecture, jacobi polynomials, mathematics, matlab, orthogonal polynomials, sharpness, software source code, walter gautschi archives"
80,"inequalities the largest zero jacobi polynomials here extend all zero jacobi polynomials , new relevant conjecture formulate .","computer science, gauss quadrature approximation, inequalities, jacobi polynomials, mathematics, matlab, orthogonal polynomials, walter gautschi archives, zero"
81,matlab routines compute gauss quadrature rule logarithmic weight function,"computer science, gaussian quadrature, jacobi weight functions, logarithmic weight functions, mathematics, matlab, modified chebyshev algorithm, orthogonal polynomials, software source code, variable-precision arithmetic, walter gautschi archives"
82,matlab program evaluate lambert w-functions some their integrals,"computation of special functions, computer science, guassian quadrature, integrals of lambert w-functions, lambert w-functions·, mathematics, matlab, nonstandard gaussian quadrature, numerical approximation, numerical integrations, orthogonal polynomials, software source code, variable-precision computation, walter gautschi archives"
83,matlab routines compute optimally condition vandermonde matrices,"computer science, condition numbers, guassian quadrature, logarithmic weight functions, mathematics, matlab, orthogonal polynomials, singular value decomposition, software source code, vandermonde matrices, walter gautschi archives"
84,matlab source cod file compute high-order gauss-radau gauss-lobatto formulae jacobi laguerre weight function,"computer science, high-order generalized gauss–radau and gauss–lobatto quadrature formulae, jacobi weight functions, laguerre weight functions, mathematics, matlab, orthogonal polynomials, software source code, walter gautschi archives"
85,matlab routines compute numerical integration the square,"aerodynamical drag coefficient, computer science, gaussian quadrature, gauss quadrature approximation, mathematics, matlab, numerical integration over the square, orthogonal polynomials, quadrature and cubature formulas, software source code, walter gautschi archives, walter gautschi selected works"
86,"matlab routines compute sub-range jacobi polynomials within sub interval [ -1 , 1 ]","computation of recurrence coefficients and special gaussian quadrature rules, computer science, gaussian quadrature, jacobi weight functions, mathematics, matlab, orthogonal polynomials, software source code, sub-range jacobi polynomials, walter gautschi archives"
87,matlab routines data set compute repeat modifications orthogonal polynomials,"computer science, gaussian quadrature, gaussian quadrature of functions having poles, jacobi polynomials, logarithmic weight functions, mathematics, matlab, modification algorithms for orthogonal polynomials, numerical integrations, orthogonal polynomials, software source code, walter gautschi archives"
88,matlab routines neutralize nearby singularities numerical quadrature,"computer science, gaussian quadrature, mathematics, matlab, nearby singularities, numerical quadrature, orthogonal polynomials, software source code, walter gautschi archives"
89,matlab routines calculate high-precision gauss-turan quadrature rule,"computer science, gauss-type quadrature rules, hermite weight function, laguerre weight functions, mathematics, matlab, orthogonal polynomials, software source code, variable-precision arithmetic, walter gautschi archives"
90,be set matlab cod data file generate orthogonal polynomials relate quadrature rule .,"computer science, gauss-type quadrature rules, mathematics, matlab, modification algorithms for orthogonal polynomials, orthogonal polynomials, software source code, variable-precision arithmetic, walter gautschi archives"
91,matlab script compute orthogonal polynomials whose weight function involve exponential integral,"computer science, exponential integrals, gaussian quadrature, logarithmic weight functions, mathematics, matlab, orthogonal polynomials, software source code, variable-precision arithmetic, walter gautschi archives"
92,"water quality data collect the lafayette area watershed 2009. be five sample sit locate little pine creek , elliot ditch , little wea creek two sit the wabash river .","agronomy, algae, ammonia, crop science, discharge, dissolved oxygen, elliot ditch, enterococci, escherichia coli, flow, forestry and natural resources, indiana, lafayette, little pine creek, little wea creek, orthophosphate, ph, soil science, specific conductivity, temperature, total coliforms, turbidity, wabash river, water quality, watershed"
93,"data include be the wqfs maize grain yield ; see companion publications other data include yield rotation crop , maize stover biomass , nitrate loss drainage water other environmental impact data .","agronomy, continuous corn, corn soybean rotation, crop science, grain yield, nitrogen fertilizer, soil science, swine manure, water quality field station"
94,"supplementary materials the publication entitle “ discovery mll1 bind units , localization cpg islands , their potential function mitotic chromatin. ” bina , wyss p , et al . bmc genomics . 14:927 ( 2013 ) .","binding sites, bioinformatics, cell division, chemistry, chromatin structure, cis-elements, codes in dna, cpg islands, gene bookmarking, gene regulation, mammalian genomes, mitosis, mll, mll binding sites, mouse genome, regulatory codes, tres, trithorax response elements"
95,"water quality data collect the lafayette area watershed 2010. be five sample sit locate little pine creek , elliot ditch , little wea creek two sit the wabash river .","agronomy, algae, ammonia, crop science, discharge, dissolved oxygen, elliot ditch, enterococci, escherichia coli, flow, forestry and natural resources, indiana, lafayette, little pine creek, little wea creek, orthophosphate, ph, soil science, specific conductivity, temperature, total coliforms, turbidity, wabash river, water quality, watershed"
96,"water quality data collect the lafayette area watershed 2011. be five sample sit locate little pine creek , elliot ditch , little wea creek two sit the wabash river .","agronomy, algae, ammonia, crop science, discharge, dissolved oxygen, elliot ditch, enterococci, escherichia coli, flow, forestry and natural resources, indiana, lafayette, little pine creek, little wea creek, orthophosphate, ph, soil science, specific conductivity, temperature, total coliforms, turbidity, wabash river, water quality, watershed"
97,"video show several cycle a diverge diamond interchange sr-201 / bangerter salt lake city , utah december 18 , 2013 .","civil engineering, diverging diamond interchange, offset pitcher, performance measures, traffic signal"
98,"video demonstrate optimize performance a diamond interchange i-69 / 96th street northeast indianapolis , .","civil engineering, diamond interchange, offset, optimization, sequence, signal"
99,"supplementary materials the publication entitle “ discovery mll1 bind units , localization cpg islands , their potential function mitotic chromatin. ” bina , wyss p , et al . bmc genomics . 14:927 ( 2013 )","binding sites, cell division, chemistry, chromatin structure, cis-elements, codes in dna, cpg islands, gene bookmarking, gene regulation, mammalian genomes, mitosis, mll, mll binding sites, mouse genome, regulatory codes, tres, trithorax response elements"
100,interview coty back the indiana department agriculture future farmers america .,"agriculture, engineering technology, engineering technology pathways, engineering technology summit 2013, entrepreneurship, national science foundation, nsf grant: 105582, technology leadership and innovation, virtual learning community"
101,inerfc : evaluation the repeat integrals the coerror function half-range gauss-hermite quadrature,"coerror function, computer science, mathematics, mathematics education, matlab, quadrature and cubature formulas, walter gautschi archives"
102,inerfc : evaluation the repeat integrals the coerror function half-range gauss-hermite quadrature,"coerror function, computer science, mathematics, mathematics education, matlab, quadrature and cubature formulas, walter gautschi archives"
103,discover sequence potential regulatory characteristics,"bioinformatics, chemistry, codes in human dna, gene regulation, genetic vocabulary, genomics, human genome, regulatory signals, sequence context, transcription factor binding sites"
104,present accurate effective outflow boundary condition numerical algorithm achieve stability the presence strong vortices backflows the outflow boundaries .,"backflow, cfd, incompressible flow, mathematics, open boundary condition, outflow, outflow boundary condition, physics"
105,"present effective outflow boundary condition , an associate numerical algorithm , within phase field framework deal two-phase outflows open boundaries .","inflow boundary condition, large density ratio, mathematics, multiphase flow, open boundary condition, outflow boundary condition, phase field method, physics, spectral element method, two-phase flow, two-phase open boundary, two-phase outflow, variable coefficient matrix"
106,"water quality data collect the lafayette area watershed 2012. be three sample sit locate little pine creek , elliot ditch , little wea creek two sit the wabash river .","agronomy, algae, ammonia, crop science, discharge, dissolved oxygen, elliot ditch, enterococci, escherichia coli, flow, forestry and natural resources, indiana, lafayette, little pine creek, little wea creek, orthophosphate, ph, soil science, specific conductivity, temperature, total coliforms, turbidity, wabash river, water quality, watershed"
107,"video highlight research complete the joint transportation research program lead darcy bullock , lyles school civil engineer , purdue university , jtrp project spr-3528 , & quot ; alternatives raise pavement markers ( rpms ) . & quot ;","civil engineering, pavement alternatives, rpm, rumble stripes, spr-3528"
108,"video show three-phase operations feature hold-back phase data characterize southbound internal movement ( ol-c ) may 15 , 2014 , the sr-201 / bangerter ddi salt lake city , utah .","civil engineering, diverging diamond interchange, drone, operation, signal, traffic, uav, unmanned aerial vehicle"
109,video document field test a cirrus sr-20 traverse a saw cut a raise rumble strip the purdue airport ( laf ) .,"airport, cirrus sr-20, civil engineering, rumble strips, runway incursion"
